"Magic Slim"
"Little Smokey Smothers"
"Otis ""Big Smokey"" Smothers"
"Little Sonny"
"Otis Spann"
"Arthur ""Big Boy"" Spires"
"Bob Stroger"
"Eddie Taylor"
"Hound Dog Taylor"
"The Butler Twins"
"Little Walter"
"Baby Boy Warren"
"Joe Weaver"
"Big Mama Thornton"
"Johnny ""Big Moose"" Walker"
"Carl Weathersby"
"Junior Wells"
"Jody Williams"
"Johnny Williams"
"Sonny Boy Williamson I"
"Sonny Boy Williamson II"
"Washboard Willie"
"Howlin' Wolf"
"Big John Wrencher"
"Johnny ""Man"" Young"

"Duane Allman"
"Gaye Adegbalola"
"Kip Anderson"
"James Anthony"
"Memphis Willie B."
"Back Alley John"
"Etta Baker"
"Marcia Ball"
"Johnnie Bassett"
"Eric Bibb"
"Elvin Bishop"
"Bobby Bland"
"Rory Block"
"Mike Bloomfield"
"The Blues Brothers"
"Roy Book Binder"
"Delaney Bramlett"
"Freddie Brooks"
"Lonnie Brooks"
"Clarence ""Gatemouth"" Brown"
"Texas Johnny Brown"
"Charles Caldwell"
"Bob Brozman"
"Roy Buchanan"
"Eric Burdon"
"Michael Burks"
"Jimmy Burns"
"Aron Burton"
"Catfish Keith"
"Eric Clapton"
"Albert Collins"
"Johnny Copeland"
"Al Copley"
"Robert Cray"
"Yavuz Çetin"
"Maxwell Street Jimmy Davis"
"Willie Dixon"
"Little Arthur Duncan"
"Big Joe Duskin"
"Johnny Dyer"
"Snooks Eaglin"
"Robert Ealey"
"Clarence Edwards"
"Margie Evans"
"Terry Evans"
"John Fahey"
"The Fabulous Thunderbirds"
"Billy Flynn"
"Robben Ford"
"Carol Fran"
"Denny Freeman"
"Steve Freund"
"Johnny Fuller"
"Earl Gaines"
"Grady Gaines"
"Roy Gaines"
"Rory Gallagher"
"Paul Geremia"
"Billy F. Gibbons"
"Lacy Gibson"
"Peter Green"
"Guitar Slim, Jr."
"Steve Guyger"
"Sandra Hall"
"Larry Hamilton"
"John P. Hammond"
"Ernie Hawkins"
"Ted Hawkins"
"Johnny Heartsman"
"Scott Henderson"
"Jimi Hendrix"
"Z.Z. Hill"
"Bob Hite"
"John Dee Holeman"
"John Lee Hooker"
"Lightnin' Hopkins"
"James Hunter"
"Long John Hunter"
"Ironing Board Sam"
